group_name,technique_id
APT38,T1486  T1033  T1112  T1049  T1070.004  T1056.001  T1518.001  T1543.003  T1189  T1083  T1059.003  T1059.005  T1529  T1071.001  T1105  T1562.003  T1027.002  T1217  T1070.001  T1070.006  T1485  T1110  T1135  T1082  T1565.002  T1561.002  T1053.005  T1588.002  T1505.003  T1115  T1562.004  T1218.011  T1565.003  T1106  T1218.001  T1204.002  T1565.001  T1005  T1059.001  T1053.003  T1566.001  T1569.002  T1057  T1013
Indrik Spider,T1003.001  T1136  T1036.005  T1007  T1070.001  T1562.001  T1074.001  T1059.001  T1078.002  T1059.003  T1484.001  T1047  T1486  T1018  T1059.007  T1105  T1489  T1204.002  T1584.004
NEODYMIUM,
Elderwood,T1027  T1204.002  T1566.002  T1566.001  T1204.001  T1189  T1203  T1105  T1027.002  T1195
SideCopy,T1614  T1518.001  T1584.001  T1105  T1016  T1608.001  T1106  T1059.005  T1518  T1566.001  T1574.002  T1204.002  T1082  T1598.002  T1036.005  T1218.005
GALLIUM,T1059.003  T1003.002  T1078  T1053.005  T1027  T1553.002  T1041  T1005  T1574.002  T1588.002  T1047  T1136.002  T1583.004  T1133  T1027.002  T1505.003  T1003.001  T1560.001  T1059.001  T1570  T1027.005  T1090.002  T1049  T1074.001  T1033  T1190  T1016  T1105  T1018  T1550.002  T1036.003  T1002
APT17,T1583.006  T1585
APT3,T1053.005  T1104  T1110.002  T1564.003  T1555.003  T1059.003  T1016  T1049  T1090.002  T1218.011  T1027  T1566.002  T1098  T1204.001  T1041  T1552.001  T1074.001  T1078.002  T1005  T1203  T1021.002  T1574.002  T1087.001  T1070.004  T1083  T1546.008  T1560.001  T1082  T1059.001  T1543.003  T1003.001  T1547.001  T1021.001  T1057  T1095  T1069  T1018  T1056.001  T1027.002  T1136.001  T1105  T1033  T1027.005  T1065  T1043  T1108  T1064  T1061
GCMAN,T1021.005  T1021.004
Kimsuky,T1005  T1587.001  T1021.001  T1585.002  T1204.002  T1040  T1566.002  T1588.002  T1078.003  T1140  T1608.001  T1105  T1587  T1567.002  T1553.002  T1036.004  T1102.002  T1204.001  T1534  T1190  T1593.001  T1589.003  T1218.011  T1564.002  T1176  T1070.004  T1219  T1583.004  T1111  T1594  T1059.003  T1583.001  T1012  T1591  T1071.001  T1585.001  T1136.001  T1007  T1586.002  T1560.003  T1070.006  T1598.003  T1550.002  T1557  T1518.001  T1218.005  T1041  T1036  T1133  T1082  T1584.001  T1589.002  T1059.007  T1027  T1074.001  T1071.003  T1056.001  T1027.002  T1552.001  T1560.001  T1016  T1555.003  T1546.001  T1566.001  T1057  T1055  T1112  T1059.001  T1562.004  T1588.005  T1218.010  T1547.001  T1562.001  T1543.003  T1583.006  T1083  T1564.003  T1053.005  T1036.005  T1593.002  T1055.012  T1114.003  T1071.002  T1003.001  T1059.005  T1098  T1059.006  T1505.003  T1114.002
EXOTIC LILY,T1566.003  T1585.001  T1566.001  T1203  T1566.002  T1204.002  T1585.002  T1102  T1594  T1204.001  T1597  T1583.001  T1593.001  T1589.002  T1608.001
admin@338,T1566.001  T1016  T1036.005  T1083  T1069.001  T1049  T1087.001  T1203  T1007  T1204.002  T1082  T1059.003
Patchwork,T1059.005  T1560  T1083  T1553.002  T1574.002  T1112  T1197  T1027.005  T1555.003  T1053.005  T1132.001  T1055.012  T1021.001  T1547.001  T1074.001  T1036.005  T1566.001  T1027.010  T1588.002  T1189  T1204.001  T1518.001  T1203  T1027.002  T1033  T1005  T1204.002  T1587.002  T1070.004  T1119  T1102.001  T1059.003  T1027.001  T1548.002  T1059.001  T1598.003  T1105  T1566.002  T1082  T1559.002  T1064
APT41,T1078  T1195.002  T1059.001  T1014  T1036.005  T1543.003  T1071.002  T1553.002  T1588.002  T1098  T1021.002  T1136.001  T1542.003  T1071.001  T1070.001  T1135  T1480.001  T1005  T1133  T1070.004  T1566.001  T1053.005  T1547.001  T1546.008  T1110.002  T1574.006  T1059.003  T1568.002  T1569.002  T1071.004  T1046  T1560.001  T1218.011  T1102.001  T1008  T1496  T1049  T1059.004  T1486  T1574.002  T1016  T1033  T1105  T1203  T1218.001  T1112  T1090  T1003.001  T1197  T1083  T1055  T1021.001  T1190  T1027  T1104  T1047  T1056.001  T1070.003  T1036.004  T1574.001
Dragonfly,T1560  T1113  T1564.002  T1505.003  T1204.002  T1591.002  T1078  T1016  T1584.004  T1083  T1136.001  T1221  T1203  T1110.002  T1608.004  T1562.004  T1012  T1566.001  T1189  T1583.001  T1003.002  T1598.002  T1070.001  T1005  T1070.004  T1059  T1112  T1588.002  T1195.002  T1036  T1003.003  T1098  T1583.003  T1059.003  T1071  T1598.003  T1053.005  T1069.002  T1114.002  T1595.002  T1547.001  T1105  T1133  T1003.004  T1190  T1135  T1110  T1021.001  T1187  T1033  T1074.001  T1059.001  T1210  T1059.006  T1018  T1087.002  T1547.009  T1566  T1086  T1135  T1043  T1100  T1064  T1076  T1136  T1070  T1114  T1133  T1036  T1187  T1113  T1003  T1107  T1053  T1089  T1110  T1105
Evilnum,T1497.001  T1219  T1539  T1566.002  T1548.002  T1070.004  T1574.001  T1204.001  T1555  T1105  T1059.007
Gorgon Group,T1055.012  T1140  T1106  T1547.001  T1059.001  T1059.003  T1105  T1566.001  T1564.003  T1055.002  T1562.001  T1112  T1547.009  T1204.002  T1588.002  T1059.005  T1065
menuPass,T1018  T1047  T1036  T1070.004  T1046  T1049  T1560.001  T1566.001  T1105  T1588.002  T1204.002  T1090.002  T1078  T1016  T1568.001  T1036.003  T1056.001  T1087.002  T1003.003  T1218.004  T1106  T1003.002  T1027  T1199  T1190  T1074.002  T1070.003  T1140  T1553.002  T1053.005  T1055.012  T1074.001  T1021.001  T1039  T1003.004  T1083  T1036.005  T1574.002  T1560  T1059.003  T1005  T1059.001  T1210  T1021.004  T1119  T1583.001  T1574.001  T1064
Night Dragon,T1027.002  T1566.002  T1043  T1074.002  T1550.002  T1003.002  T1133  T1562.001  T1027  T1204.001  T1078  T1071.001  T1219  T1190  T1587.001  T1588.002
APT32,T1550.002  T1036  T1059.007  T1047  T1072  T1570  T1564.004  T1552.002  T1055  T1216.001  T1566.001  T1135  T1033  T1571  T1082  T1583.001  T1012  T1027.010  T1059.003  T1048.003  T1574.002  T1566.002  T1598.003  T1087.001  T1059.001  T1003.001  T1046  T1608.004  T1041  T1036.004  T1003  T1078.003  T1589  T1070.006  T1189  T1218.011  T1059  T1112  T1071.003  T1560  T1204.001  T1071.001  T1036.005  T1070.004  T1070.001  T1027.011  T1105  T1053.005  T1036.003  T1543.003  T1608.001  T1222.002  T1569.002  T1018  T1218.005  T1083  T1059.005  T1588.002  T1021.002  T1550.003  T1583.006  T1505.003  T1564.001  T1016  T1027.001  T1049  T1564.003  T1027  T1056.001  T1589.002  T1218.010  T1068  T1585.001  T1137  T1203  T1204.002  T1547.001  T1102  T1094  T1065  T1050  T1064  T1031  T1022  T1043  T1087  T1045  T1107
HAFNIUM,T1592.004  T1105  T1583.006  T1560.001  T1005  T1033  T1059.003  T1057  T1003.001  T1590  T1505.003  T1589.002  T1567.002  T1114.002  T1218.011  T1078.003  T1059.001  T1564.001  T1016.001  T1016  T1590.005  T1083  T1003.003  T1098  T1136.002  T1071.001  T1018  T1190  T1095  T1132.001  T1583.003
MuddyWater,T1566.002  T1137.001  T1574.002  T1588.002  T1218.005  T1047  T1003.004  T1566.001  T1589.002  T1559.001  T1059.003  T1218.003  T1036.005  T1562.001  T1087.002  T1059.007  T1583.006  T1059.005  T1016  T1547.001  T1140  T1559.002  T1027.010  T1027.004  T1518.001  T1074.001  T1113  T1071.001  T1518  T1083  T1548.002  T1105  T1573.001  T1555.003  T1560.001  T1059.006  T1049  T1082  T1555  T1057  T1132.001  T1104  T1204.001  T1027.003  T1003.001  T1053.005  T1090.002  T1204.002  T1033  T1219  T1041  T1059.001  T1102.002  T1218.011  T1552.001  T1190  T1210  T1203  T1003.005  T1064
Strider,T1090.001  T1556.002  T1564.005
Operation Wocao,T1001  T1090  T1012  T1027.005  T1027  T1078.003  T1018  T1005  T1003.001  T1059.001  T1074.001  T1046  T1059.005  T1124  T1083  T1069.001  T1057  T1562.004  T1558.003  T1021.002  T1105  T1095  T1111  T1007  T1190  T1082  T1049  T1090.003  T1112  T1070.004  T1552.004  T1570  T1047  T1055  T1056.001  T1078.002  T1016  T1505.003  T1120  T1090.001  T1518  T1078  T1119  T1087.002  T1053.005  T1106  T1560.001  T1518.001  T1135  T1555.005  T1041  T1133  T1059.006  T1070.001  T1569.002  T1059.003  T1573.002  T1115  T1033  T1003.006
Naikon,T1078.002  T1018  T1547.001  T1518.001  T1046  T1047  T1137.006  T1016  T1036.005  T1566.001  T1036.004  T1053.005  T1204.002  T1574.002
FIN6,T1560.003  T1566.001  T1087.002  T1059  T1572  T1213  T1027.010  T1059.007  T1102  T1005  T1547.001  T1059.003  T1588.002  T1070.004  T1003.003  T1134  T1562.001  T1068  T1204.002  T1036.004  T1566.003  T1059.001  T1560  T1553.002  T1021.001  T1119  T1018  T1053.005  T1569.002  T1046  T1048.003  T1047  T1110.002  T1555  T1095  T1078  T1573.002  T1003.001  T1555.003  T1074.002  T1069.002  T1074.001
Gamaredon Group,T1491.001  T1534  T1047  T1083  T1119  T1036.005  T1027.004  T1105  T1021.005  T1027.001  T1218.011  T1566.001  T1082  T1059.005  T1113  T1005  T1039  T1608.001  T1112  T1016.001  T1559.001  T1562.001  T1025  T1221  T1140  T1080  T1106  T1485  T1033  T1564.003  T1070.004  T1059.001  T1020  T1071.001  T1583.001  T1120  T1041  T1053.005  T1027  T1057  T1027.010  T1204.002  T1568  T1547.001  T1059.003  T1218.005  T1137  T1102
Moafee,T1027.001
Gallmaker,T1204.002  T1027  T1560.001  T1559.002  T1059.001  T1566.001  T1064
Leafminer,T1027.010  T1588.002  T1003.001  T1555  T1046  T1003.005  T1555.003  T1552.001  T1003.004  T1055.013  T1189  T1018  T1110.003  T1136.001  T1059.007  T1114.002  T1083  T1108
TeamTNT,T1133  T1219  T1569  T1036.005  T1222.002  T1070.004  T1609  T1059.004  T1547.001  T1543.002  T1136.001  T1007  T1049  T1562.004  T1543.003  T1608.001  T1059.003  T1610  T1613  T1048  T1057  T1059.001  T1552.005  T1070.003  T1074.001  T1595.002  T1027.002  T1204.003  T1014  T1552.004  T1562.001  T1611  T1070.002  T1595.001  T1105  T1518.001  T1496  T1083  T1021.004  T1036  T1140  T1082  T1027  T1016  T1046  T1120  T1071  T1098.004  T1583.001  T1059.009  T1071.001  T1552.001  T1587.001  T1102
FIN7,T1204.001  T1553.002  T1078  T1059  T1021.004  T1053.005  T1021.005  T1036.005  T1566.002  T1036.004  T1047  T1059.005  T1059.001  T1546.011  T1559.002  T1021.001  T1486  T1497.002  T1059.007  T1547.001  T1125  T1571  T1027.010  T1204.002  T1218.005  T1102.002  T1105  T1583.001  T1005  T1543.003  T1091  T1071.004  T1059.003  T1566.001  T1008  T1558.003  T1113  T1567.002  T1210  T1587.001  T1043  T1064  T1023
Sandworm Team,T1588.006  T1040  T1027.010  T1595.002  T1585.001  T1132.001  T1059.001  T1090  T1203  T1041  T1078.002  T1003.003  T1598.003  T1133  T1587.001  T1072  T1584.005  T1566.002  T1018  T1589.003  T1078  T1566.001  T1204.002  T1588.002  T1583.004  T1590.001  T1083  T1049  T1555.003  T1571  T1070.004  T1047  T1087.003  T1021.002  T1204.001  T1505.003  T1136.002  T1218.011  T1499  T1195.002  T1199  T1056.001  T1561.002  T1486  T1592.002  T1491.002  T1219  T1003.001  T1594  T1570  T1027  T1591.002  T1585.002  T1102.002  T1583.001  T1140  T1485  T1059.005  T1105  T1033  T1589.002  T1071.001  T1087.002  T1082  T1005  T1593  T1036.005  T1110.003  T1059.003  T1505.001  T1098  T1016  T1136  T1027.002  T1562.002
Machete,T1204.002  T1566.002  T1059.003  T1059.005  T1059.006  T1053.005  T1036.005  T1204.001  T1189  T1566.001  T1218.007  T1032  T1027  T1053.005  T1025  T1547.001  T1071.001  T1074.001  T1071.002  T1568.001  T1043
APT18,T1078  T1027  T1133  T1070.004  T1053.002  T1105  T1071.004  T1082  T1071.001  T1083  T1059.003  T1547.001  T1043
Andariel,T1049  T1203  T1005  T1590.005  T1189  T1057  T1592.002  T1588.001  T1204.002  T1566.001  T1027.003  T1105
CURIUM,T1566.003  T1204.002  T1005  T1585.001
Sidewinder,T1203  T1518.001  T1218.005  T1598.003  T1124  T1566.002  T1074.001  T1057  T1059.007  T1027  T1020  T1105  T1547.001  T1071.001  T1559.002  T1083  T1016  T1598.002  T1027.010  T1059.001  T1518  T1059.005  T1082  T1119  T1566.001  T1036.005  T1204.001  T1204.002  T1033  T1574.002
Mustang Panda,T1016  T1608.001  T1047  T1573.001  T1204.001  T1049  T1059.005  T1053.005  T1598.003  T1564.001  T1218.005  T1585.002  T1219  T1218.004  T1560.001  T1071.001  T1566.002  T1091  T1059.003  T1052.001  T1560.003  T1070.004  T1057  T1082  T1203  T1608  T1566.001  T1083  T1518  T1583.001  T1574.002  T1546.003  T1003.003  T1027  T1547.001  T1119  T1105  T1074.001  T1059.001  T1027.001  T1204.002  T1036.007  T1102  T1036.005  T1036
ZIRCONIUM,T1082  T1598  T1012  T1059.003  T1583.006  T1555.003  T1059.006  T1547.001  T1573.001  T1124  T1140  T1598.003  T1566.002  T1583.001  T1033  T1041  T1036  T1567.002  T1027.002  T1204.001  T1036.004  T1068  T1218.007  T1105  T1016  T1102.002
Rocke,T1190  T1014  T1027  T1102  T1562.004  T1059.004  T1082  T1071  T1105  T1496  T1027.004  T1574.006  T1564.001  T1053.003  T1059.006  T1046  T1055.002  T1102.001  T1037  T1027.002  T1070.002  T1547.001  T1222.002  T1057  T1543.002  T1018  T1140  T1562.001  T1552.004  T1070.004  T1071.001  T1571  T1021.004  T1070.006  T1036.005  T1518.001
APT39,T1046  T1547.001  T1090.002  T1140  T1056.001  T1005  T1059.001  T1115  T1003  T1553.006  T1546.010  T1547.009  T1135  T1569.002  T1027  T1588.002  T1021.001  T1033  T1027.002  T1041  T1204.002  T1053.005  T1070.004  T1102.002  T1560.001  T1505.003  T1105  T1204.001  T1555  T1113  T1003.001  T1018  T1071.004  T1059  T1074.001  T1083  T1012  T1110  T1197  T1136.001  T1059.006  T1036.005  T1071.001  T1090.001  T1078  T1056  T1566.002  T1566.001  T1021.002  T1190  T1059.005  T1021.004
APT37,T1547.001  T1120  T1059.006  T1105  T1071.001  T1027.003  T1102.002  T1082  T1204.002  T1036.001  T1548.002  T1033  T1555.003  T1529  T1005  T1559.002  T1106  T1203  T1055  T1027  T1189  T1057  T1059  T1059.003  T1566.001  T1123  T1059.005  T1053.005  T1561.002  T1094  T1043  T1064
Moses Staff,T1021.002  T1016  T1087.001  T1082  T1562.004  T1588.002  T1505.003  T1587.001  T1553.002  T1027  T1105  T1190
OilRig,T1555.004  T1082  T1003.001  T1008  T1071.001  T1059.003  T1021.001  T1505.003  T1036  T1218.001  T1046  T1087.001  T1137.004  T1069.002  T1113  T1007  T1059.001  T1070.004  T1204.002  T1133  T1201  T1087.002  T1003.004  T1140  T1048.003  T1110  T1059.005  T1566.002  T1120  T1071.004  T1105  T1049  T1204.001  T1078  T1573.002  T1566.001  T1053.005  T1119  T1056.001  T1033  T1566.003  T1572  T1047  T1021.004  T1555  T1003.005  T1027  T1069.001  T1552.001  T1057  T1555.003  T1016  T1012  T1059  T1497.001  T1027.005  T1094  T1043  T1059  T1108
Windigo,T1082  T1005  T1518  T1090  T1059  T1083  T1189
Higaisa,T1059.005  T1106  T1041  T1574.002  T1124  T1090.001  T1204.002  T1027  T1053.005  T1082  T1566.001  T1071.001  T1001.003  T1203  T1029  T1059.007  T1027.001  T1220  T1564.003  T1573.001  T1547.001  T1057  T1036.004  T1016  T1059.003  T1140
Carbanak,T1562.004  T1036.004  T1218.011  T1078  T1102.002  T1543.003  T1219  T1036.005  T1588.002  T1008
Tropic Trooper,T1543.003  T1070.004  T1566.001  T1105  T1057  T1204.002  T1573  T1071.001  T1564.001  T1221  T1033  T1046  T1016  T1052.001  T1547.001  T1505.003  T1573.002  T1059.003  T1106  T1574.002  T1083  T1027  T1036.005  T1132.001  T1078.003  T1547.004  T1203  T1071.004  T1119  T1055.001  T1020  T1135  T1082  T1518.001  T1140  T1049  T1027.003  T1518  T1091  T1082  T1043  T1197
Orangeworm,T1071.001  T1021.002
Taidoor,T1032
Suckfly,T1059.003  T1078  T1046  T1003  T1553.002
Putter Panda,T1547.001  T1562.001  T1055.001  T1027
Sharpshooter,T1105  T1204.002  T1059.005  T1106  T1559.002  T1055  T1566.001  T1547.001
POLONIUM,T1567.002  T1102.002  T1090  T1588.002  T1199  T1583.006  T1078
TA459,T1566.001  T1203  T1059.005  T1204.002  T1059.001
Aquatic Panda,T1027.010  T1070.004  T1574.001  T1105  T1007  T1588.001  T1518.001  T1059.003  T1562.001  T1588.002  T1595.002  T1003.001  T1082  T1560.001  T1059.001
Aoqin Dragon,T1204.002  T1570  T1091  T1027.002  T1587.001  T1083  T1036.005  T1588.002  T1203
Ferocious Kitten,T1204.002  T1036.002  T1036.005  T1566.001  T1588.002  T1583.001
The White Company,T1027.002  T1518.001  T1203  T1070.004  T1566.001  T1204.002  T1124  T1497
Ke3chang,T1114.002  T1105  T1087.001  T1033  T1614.001  T1087.002  T1140  T1558.001  T1021.002  T1041  T1119  T1083  T1133  T1018  T1003.002  T1016  T1588.002  T1020  T1007  T1543.003  T1190  T1036.005  T1569.002  T1005  T1071.004  T1213.002  T1027  T1059  T1036.002  T1560  T1069.002  T1560.001  T1003.003  T1057  T1003.001  T1587.001  T1071.001  T1059.003  T1078  T1547.001  T1049  T1056.001  T1003.004  T1078.004  T1082
APT34,T1076  T1110  T1113  T1056  T1100  T1027  T1003  T1046  T1071  T1201  T1078  T1086  T1059  T1032  T1064  T1107  T1133  T1047  T1140  T1105
APT1,T1003.001  T1057  T1005  T1550.002  T1583.001  T1560.001  T1119  T1114.002  T1566.002  T1016  T1114.001  T1588.001  T1049  T1585.002  T1584.001  T1036.005  T1087.001  T1566.001  T1135  T1059.003  T1588.002  T1007  T1021.001  T1059
Frankenstein,T1105  T1005  T1203  T1047  T1204.002  T1020  T1140  T1497.001  T1003  T1041  T1033  T1059.001  T1221  T1027  T1059.005  T1573.001  T1119  T1057  T1566.001  T1059.003  T1016  T1127.001  T1588.002  T1053.005  T1518.001  T1082
DarkHydrus,T1204.002  T1187  T1564.003  T1059.001  T1566.001  T1221  T1588.002
Confucius,T1566.002  T1204.001  T1567.002  T1221  T1059.005  T1566.001  T1203  T1082  T1105  T1119  T1583.006  T1071.001  T1041  T1218.005  T1083  T1547.001  T1053.005  T1204.002  T1059.001
BlackTech,T1566.002  T1204.001  T1588.003  T1046  T1588.002  T1190  T1021.004  T1106  T1203  T1566.001  T1036.002  T1574.002  T1204.002  T1588.004
Leviathan,T1567.002  T1102.003  T1047  T1021.004  T1105  T1547.001  T1027  T1589.001  T1003.001  T1586.001  T1090.003  T1027.001  T1583.001  T1585.002  T1566.002  T1189  T1546.003  T1027.003  T1585.001  T1059.001  T1547.009  T1055.001  T1566.001  T1203  T1059.005  T1078  T1553.002  T1559.002  T1197  T1074.001  T1204.002  T1140  T1074.002  T1534  T1218.010  T1041  T1505.003  T1021.001  T1560  T1572  T1204.001  T1133  T1003  T1586.002  T1059.003  T1078
