group_name,technique_id
Group5,T1056.001  T1113  T1070.004  T1027  T1065  T1045
Blue Mockingbird,T1059.001  T1574.012  T1546.003  T1082  T1543.003  T1053.005  T1090  T1047  T1059.003  T1003.001  T1218.011  T1134  T1496  T1027  T1112  T1569.002  T1190  T1021.001  T1218.010  T1021.002  T1036.005  T1588.002
SilverTerrier,T1071.003  T1071.001  T1071.002
Dragonfly 2.0,T1114.002  T1204.001  T1566.001  T1059.001  T1003.002  T1221  T1547.001  T1505.003  T1016  T1012  T1059.003  T1098  T1112  T1021.001  T1036  T1105  T1018  T1070.001  T1560  T1547.009  T1074.001  T1135  T1033  T1071  T1083  T1204.002  T1053.005  T1005  T1070.004  T1043  T1087.002  T1059.006  T1110.002  T1187  T1059  T1113  T1069.002  T1564.002  T1562.004  T1003.004  T1133  T1003.003  T1078  T1136.001  T1566.002  T1189
Stolen Pencil,T1078.003  T1555.003  T1056.001  T1040  T1003.001  T1021.001  T1552.001  T1566.002  T1176  T1108
Turla,T1584.006  T1112  T1069.001  T1140  T1588.002  T1059.007  T1134.002  T1562.001  T1059.005  T1546.013  T1583.006  T1055.001  T1105  T1555.004  T1090  T1068  T1615  T1049  T1106  T1071.003  T1021.002  T1547.001  T1005  T1012  T1007  T1110  T1570  T1189  T1584.004  T1087.002  T1120  T1567.002  T1102.002  T1071.001  T1124  T1087.001  T1204.001  T1090.001  T1546.003  T1560.001  T1059.003  T1057  T1016  T1587.001  T1025  T1518.001  T1059.001  T1027.010  T1059.006  T1213  T1018  T1588.001  T1069.002  T1027.011  T1547.004  T1553.006  T1566.002  T1016.001  T1102  T1082  T1584.003  T1055  T1078.003  T1201  T1083  T1027.005  T1566.001
Poseidon Group,T1049  T1003  T1007  T1087.002  T1087.001  T1057  T1036.005  T1059.001
TA505,T1087.003  T1583.001  T1553.005  T1218.007  T1112  T1588.002  T1204.002  T1568.001  T1027  T1027.002  T1552.001  T1059.005  T1059.007  T1204.001  T1562.001  T1608.001  T1218.011  T1140  T1555.003  T1027.010  T1069  T1105  T1588.001  T1078.002  T1553.002  T1486  T1059.001  T1566.001  T1106  T1566.002  T1559.002  T1055.001  T1071.001  T1059.003
BITTER,T1105  T1071.001  T1588.002  T1568  T1566.001  T1204.002  T1027  T1573  T1068  T1036.004  T1608.001  T1559.002  T1203  T1583.001  T1053.005  T1095
DarkVishnya,T1200  T1588.002  T1543.003  T1046  T1135  T1110  T1219  T1059.001  T1040  T1571
FIN5,T1090.002  T1070.004  T1074.001  T1059  T1018  T1119  T1110  T1588.002  T1133  T1070.001  T1078
Mofang,T1566.002  T1204.001  T1566.001  T1027  T1204.002
Lotus Blossom,
Stealth Falcon,T1555.004  T1059  T1555.003  T1555  T1057  T1016  T1573.001  T1012  T1071.001  T1033  T1047  T1005  T1041  T1059.001  T1053.005  T1082
APT29,T1621  T1588.002  T1090.004  T1068  T1546.003  T1547.001  T1136.003  T1098.005  T1587.003  T1105  T1651  T1566.001  T1078.004  T1053.005  T1587.001  T1583.006  T1090.003  T1027.006  T1070.004  T1203  T1550.003  T1204.001  T1036.005  T1110.003  T1114.002  T1027.001  T1556.007  T1562.001  T1059.001  T1133  T1021.007  T1595.002  T1566.002  T1586.003  T1573  T1047  T1110.001  T1199  T1566.003  T1078  T1505.003  T1059.006  T1218.005  T1190  T1553.005  T1649  T1087.004  T1098.002  T1546.008  T1059.009  T1586.002  T1204.002  T1548.002  T1027.002  T1078.003  T1098.005  T1036.004  T1059.003  T1078.004  T1140  T1550.004  T1003.006  T1560.001  T1069.002  T1059.005  T1027  T1213  T1555  T1057  T1087  T1583.001  T1036  T1083  T1070  T1195.002  T1484.002  T1005  T1098.001  T1078.002  T1069  T1550  T1021.001  T1070.006  T1584.001  T1098.002  T1550.001  T1213.003  T1021.006  T1606.001  T1016.001  T1082  T1482  T1095  T1074.002  T1090.001  T1001.002  T1589.001  T1102.002  T1555.003  T1568  T1114.002  T1606.002  T1553.002  T1562.004  T1078  T1070.008  T1552.004  T1562.001  T1218.011  T1021.002  T1071.001  T1562.002  T1098.003  T1048.002  T1539  T1558.003  T1018  T1087.002  T1043  T1547.009  T1064  T1070
Dark Caracal,T1027  T1059.003  T1071.001  T1204.002  T1027.002  T1218.001  T1189  T1547.001  T1083  T1566.003  T1005  T1113
Chimera,T1574.002  T1074.002  T1053.005  T1569.002  T1041  T1078  T1550.002  T1071.001  T1106  T1556.001  T1070.001  T1071.004  T1482  T1560.001  T1021.006  T1083  T1087.002  T1057  T1021.002  T1059.001  T1003.003  T1074.001  T1213.002  T1135  T1036.005  T1570  T1007  T1027.010  T1016  T1046  T1033  T1087.001  T1572  T1078.002  T1069.001  T1124  T1201  T1049  T1059.003  T1070.004  T1110.003  T1114.001  T1039  T1119  T1133  T1110.004  T1082  T1114.002  T1012  T1588.002  T1567.002  T1070.006  T1018  T1589.001  T1047  T1021.001  T1111  T1217  T1105  T1102
Cleaver,T1003.001  T1557.002  T1588.002  T1587.001  T1585.001
Silent Librarian,T1588.004  T1594  T1114  T1598.003  T1589.003  T1114.003  T1585.002  T1589.002  T1608.005  T1110.003  T1583.001  T1588.002  T1078
BRONZE BUTLER,T1140  T1005  T1007  T1070.004  T1059.006  T1566.001  T1036.005  T1113  T1036  T1588.002  T1548.002  T1059.005  T1132.001  T1518  T1071.001  T1039  T1124  T1189  T1574.002  T1562.001  T1003.001  T1203  T1018  T1560.001  T1053.002  T1102.001  T1053.005  T1080  T1204.002  T1027.001  T1547.001  T1059.001  T1059.003  T1105  T1550.003  T1573.001  T1027.003  T1087.002  T1083  T1036.002  T1059  T1032  T1022
TA551,T1218.010  T1589.002  T1204.002  T1218.011  T1027.003  T1566.001  T1132.001  T1568.002  T1027.010  T1071.001  T1105  T1218.005  T1059.003  T1036
TEMP.Veles,T1546.012  T1074.001  T1133  T1027.005  T1505.003  T1021.001  T1571  T1021.004  T1059.001  T1053.005  T1036.005  T1583.003  T1070.006  T1078  T1070.004  T1588.002  T1003.001  T1065  T1043
MONSOON,
Equation,T1564.005  T1120  T1480.001  T1542.002  T1109
BackdoorDiplomacy,T1027  T1505.003  T1190  T1588.002  T1036.005  T1055.001  T1105  T1074.001  T1046  T1049  T1120  T1095  T1574.001  T1588.001  T1036.004
Gelsemium,T1195.002  T1568  T1583.004
Darkhotel,T1518.001  T1497.002  T1027  T1573.001  T1080  T1082  T1056.001  T1566.001  T1057  T1140  T1189  T1091  T1497  T1497.001  T1124  T1553.002  T1016  T1083  T1059.003  T1036.005  T1105  T1547.001  T1203  T1204.002  T1547.009
Axiom,T1001.002  T1005  T1560  T1584.005  T1189  T1553  T1021.001  T1583.002  T1203  T1078  T1583.003  T1563.002  T1546.008  T1566  T1190  T1003  T1001
Deep Panda,T1057  T1018  T1505.003  T1027.005  T1218.010  T1564.003  T1059.001  T1546.008  T1047  T1021.002  T1064
Ember Bear,T1566.001  T1588.002  T1588.003  T1112  T1562.001  T1059.001  T1218.002  T1203  T1027  T1553.002  T1027.002  T1105  T1059.007  T1102  T1027.001  T1566.002  T1059.003  T1027.010  T1204.002  T1204.001
LazyScripter,T1204.001  T1218.005  T1608.001  T1204.002  T1102  T1059.007  T1583.001  T1059.005  T1071.004  T1588.001  T1105  T1036  T1566.001  T1059.001  T1059.003  T1027.010  T1547.001  T1218.011  T1566.002  T1583.006
Dust Storm,T1005  T1027  T1083
Windshift,T1057  T1189  T1059.005  T1518.001  T1566.001  T1204.001  T1566.003  T1547.001  T1518  T1566.002  T1036.001  T1027  T1071.001  T1036  T1105  T1047  T1033  T1082  T1204.002
Volatile Cedar,T1595.002  T1595.003  T1505.003  T1105  T1190
Whitefly,T1105  T1574.001  T1003.001  T1068  T1588.002  T1059  T1027  T1204.002  T1036.005
LuminousMoth,T1539  T1567.002  T1566.002  T1588.001  T1030  T1564.001  T1608.001  T1091  T1041  T1608.004  T1608.005  T1587.001  T1071.001  T1105  T1557.002  T1588.002  T1005  T1204.001  T1574.002  T1547.001  T1083  T1033  T1560  T1036.005  T1112  T1053.005  T1588.004  T1553.002
CostaRicto,T1588.002  T1046  T1572  T1090.003  T1053.005
APT28,T1003.003  T1589.001  T1564.001  T1583.001  T1070.006  T1090.002  T1566.001  T1059.001  T1048.002  T1547.001  T1027  T1203  T1586.002  T1114.002  T1505.003  T1550.002  T1037.001  T1588.002  T1564.003  T1090.003  T1567  T1056.001  T1083  T1190  T1039  T1113  T1110.001  T1070.001  T1583.006  T1057  T1189  T1595.002  T1546.015  T1199  T1120  T1059.003  T1498  T1070.004  T1560  T1105  T1598  T1559.002  T1036.005  T1119  T1078.004  T1221  T1005  T1213.002  T1078  T1025  T1071.001  T1213  T1218.011  T1560.001  T1140  T1598.003  T1542.003  T1071.003  T1036  T1210  T1014  T1204.002  T1550.001  T1030  T1134.001  T1074.002  T1566.002  T1092  T1098.002  T1003  T1040  T1068  T1137.002  T1528  T1110.003  T1204.001  T1133  T1102.002  T1001.001  T1211  T1003.001  T1573.001  T1074.001  T1091  T1110  T1021.002  T1043  T1059  T1081  T1082  T1033
Metador,T1071.001  T1059.003  T1588.001  T1546.003  T1027  T1070.004  T1095  T1588.002  T1105
Fox Kitten,T1105  T1059  T1530  T1018  T1110  T1210  T1136.001  T1560.001  T1027.010  T1005  T1585  T1021.005  T1552.001  T1217  T1059.003  T1027  T1213  T1021.002  T1190  T1555.005  T1003.003  T1087.001  T1087.002  T1021.004  T1505.003  T1053.005  T1036.004  T1003.001  T1090  T1012  T1572  T1021.001  T1102  T1039  T1078  T1046  T1546.008  T1585.001  T1036.005  T1059.001  T1083
RTM,T1189  T1547.001  T1574.001  T1204.002  T1566.001  T1219  T1102.001
APT12,T1204.002  T1102.002  T1568.003  T1203  T1566.001
APT-C-36,T1204.002  T1036.004  T1588.002  T1027  T1053.005  T1105  T1059.005  T1571  T1566.001
Scarlet Mimic,T1036.002
Winnti Group,T1014  T1105  T1083  T1583.001  T1057  T1553.002
Tonto Team,T1135  T1574.001  T1090.002  T1059.006  T1069.001  T1056.001  T1003  T1505.003  T1203  T1204.002  T1566.001  T1210  T1059.001  T1068  T1105
GOLD SOUTHFIELD,T1199  T1190  T1113  T1219  T1195.002  T1027.010  T1133  T1059.001  T1566
Lazarus Group,T1059.003  T1566.001  T1202  T1048.003  T1001.003  T1584.004  T1105  T1218.005  T1010  T1587.001  T1134.002  T1021.004  T1098  T1564.001  T1485  T1591  T1106  T1078  T1012  T1090.002  T1027  T1104  T1046  T1005  T1489  T1016  T1588.004  T1573.001  T1082  T1033  T1620  T1041  T1102.002  T1560  T1203  T1059.001  T1566.002  T1074.001  T1036.003  T1047  T1071.001  T1557.001  T1057  T1547.001  T1589.002  T1561.001  T1491.001  T1588.002  T1547.009  T1059.005  T1542.003  T1218.011  T1583.006  T1056.001  T1571  T1132.001  T1189  T1110.003  T1204.002  T1553.002  T1218  T1560.002  T1027.007  T1070.004  T1090.001  T1008  T1140  T1562.001  T1561.002  T1583.001  T1562.004  T1053.005  T1566.003  T1036.005  T1070  T1083  T1574.013  T1055.001  T1585.001  T1021.001  T1529  T1124  T1036.004  T1070.006  T1070.003  T1574.002  T1543.003  T1021.002  T1585.002  T1049  T1560.003  T1584.001  T1027.002  T1204.001  T1087.002  T1591.004  T1567.002  T1583.004  T1608.002  T1110  T1065  T1026  T1593.001  T1220  T1534  T1221  T1218.010  T1497.001  T1614.001  T1036  T1608.001  T1588.003  T1043  T1218.001  T1059.001  T1496  T1218.005  T1059.005  T1566.003  T1547.005  T1027.002  T1036.004  T1003.001  T1112  T1064  T1059  T1024  T1094
Earth Lusca,T1583.006  T1027.003  T1608.001  T1098.004  T1003.006  T1059.005  T1189  T1018  T1584.006  T1059.007  T1210  T1036.005  T1140  T1583.001  T1033  T1547.012  T1059.001  T1059.006  T1057  T1053  T1574.002  T1112  T1047  T1003.001  T1218.005  T1482  T1567.002  T1548.002  T1588.002  T1007  T1204.002  T1190  T1090  T1027  T1543.003  T1566.002  T1560.001  T1583.004  T1049  T1595.002  T1016  T1588.001  T1584.004  T1204.001
FIN4,T1078  T1059.005  T1090.003  T1204.002  T1564.008  T1204.001  T1056.001  T1056.002  T1566.002  T1566.001  T1071.001  T1114.002
Silence,T1571  T1053.005  T1055  T1547.001  T1059.005  T1112  T1021.001  T1125  T1059.007  T1218.001  T1072  T1113  T1027.010  T1569.002  T1090.002  T1553.002  T1105  T1078  T1018  T1003.001  T1059.001  T1588.002  T1070.004  T1566.001  T1036.005  T1204.002  T1059.003  T1106
Sowbug,T1083  T1039  T1560.001  T1059.003  T1056.001  T1135  T1036.005  T1003  T1082
Threat Group-1314,T1021.002  T1059.003  T1072  T1078.002
Thrip,T1059.001  T1048.003  T1219  T1588.002
APT16,T1584.004
LAPSUS$,T1589  T1005  T1069.002  T1213.001  T1588.002  T1485  T1213.003  T1213.002  T1583.003  T1591.004  T1090  T1087.002  T1133  T1078  T1588.001  T1204  T1552.008  T1593.003  T1136.003  T1114.003  T1591.002  T1578.003  T1555.003  T1531  T1589.001  T1068  T1621  T1098.003  T1003.006  T1586.002  T1213  T1589.002  T1003.003  T1199  T1597.002  T1578.002  T1078.004  T1111
BlackOasis,T1027
UNC2452,T1484.002  T1016.001  T1078  T1140  T1105  T1560.001  T1546.003  T1584.001  T1098.002  T1083  T1195.002  T1553.002  T1074.002  T1069  T1027  T1003.006  T1087  T1552.004  T1482  T1583.001  T1059.001  T1562.004  T1606.001  T1555  T1218.011  T1071.001  T1568  T1053.005  T1005  T1036  T1036.005  T1070.004  T1059.003  T1550  T1070  T1082  T1587.001  T1606.002  T1114.002  T1098.001  T1562.001  T1047  T1021.006  T1133  T1190  T1018  T1036.004  T1048.002  T1550.004  T1057  T1070.006  T1090.001  T1562.002  T1558.003
Cobalt Group,T1566.001  T1105  T1027.010  T1053.005  T1218.008  T1195.002  T1518.001  T1559.002  T1204.002  T1068  T1218.003  T1218.010  T1055  T1059.001  T1588.002  T1021.001  T1059.005  T1203  T1070.004  T1548.002  T1220  T1071.004  T1059.007  T1566.002  T1204.001  T1059.003  T1071.001  T1547.001  T1572  T1573.002  T1543.003  T1219  T1046  T1037.001  T1108  T1059
CopyKittens,T1560.003  T1560.001  T1059.001  T1090  T1218.011  T1564.003  T1588.002  T1553.002
Wizard Spider,T1588.003  T1210  T1059.003  T1047  T1588.002  T1543.003  T1021.002  T1074  T1078.002  T1021.001  T1222.001  T1570  T1204.002  T1053.005  T1027.010  T1070.004  T1048.003  T1518.001  T1558.003  T1059.001  T1112  T1133  T1547.004  T1036.004  T1087.002  T1071.001  T1553.002  T1557.001  T1003.003  T1016  T1033  T1078  T1204.001  T1041  T1566.001  T1003.002  T1489  T1566.002  T1562.001  T1018  T1082  T1135  T1569.002  T1547.001  T1021.006  T1055.001  T1069.002  T1482  T1090
Molerats,T1218.007  T1204.001  T1105  T1553.002  T1027  T1053.005  T1140  T1566.001  T1057  T1566.002  T1555.003  T1547.001  T1059.001  T1059.005  T1059.007  T1204.002  T1059
Transparent Tribe,T1189  T1608.004  T1204.002  T1027  T1568  T1584.001  T1059.005  T1566.002  T1036.005  T1583.001  T1564.001  T1203  T1566.001  T1204.001
IndigoZebra,T1583.001  T1588.002  T1583.006  T1586.002  T1566.001  T1204.002  T1105
Inception,T1027  T1588.002  T1547.001  T1102  T1090.003  T1518  T1083  T1566.001  T1082  T1059.001  T1204.002  T1071.001  T1005  T1218.005  T1555.003  T1203  T1069.002  T1059.005  T1221  T1218.010  T1573.001  T1057
Honeybee,T1543.003  T1548.002  T1112  T1560  T1569.002  T1071.002  T1055  T1547.001  T1059.005  T1059.003  T1082  T1074.001  T1083  T1140  T1546.009  T1020  T1553.002  T1027  T1057  T1005  T1070.004  T1059  T1022  T1064
PROMETHIUM,T1204.002  T1587.002  T1078.003  T1587.003  T1547.001  T1543.003  T1036.005  T1036.004  T1553.002  T1205.001  T1189
APT30,T1566.001  T1204.002
HEXANE,T1016  T1555  T1027.010  T1589  T1082  T1583.001  T1110  T1053.005  T1204.002  T1567.002  T1585.001  T1016.001  T1069.001  T1018  T1021.001  T1586.002  T1110.003  T1102.002  T1588.002  T1555.003  T1059.001  T1608.001  T1589.002  T1585.002  T1033  T1105  T1049  T1057  T1056.001  T1518  T1059.005  T1010  T1591.004  T1583.002  T1534
DragonOK,
Rancor,T1071.001  T1059.005  T1204.002  T1053.005  T1105  T1218.007  T1059.003  T1566.001  T1064
WIRTE,T1059.001  T1571  T1059.005  T1204.002  T1140  T1566.001  T1036.005  T1588.002  T1071.001  T1218.010  T1105
PLATINUM,T1189  T1105  T1204.002  T1068  T1056.004  T1056.001  T1003.001  T1095  T1055  T1566.001  T1036  T1094
Magic Hound,T1056.001  T1567  T1589.001  T1547.001  T1059.001  T1588.002  T1584.001  T1059.003  T1572  T1585.002  T1591.001  T1071  T1071.001  T1486  T1016.001  T1586.002  T1053.005  T1592.002  T1021.001  T1087.003  T1105  T1190  T1204.002  T1218.011  T1027.010  T1046  T1590.005  T1113  T1573  T1059.005  T1595.002  T1589.002  T1204.001  T1102.002  T1033  T1098.002  T1070.004  T1027  T1566.002  T1078.001  T1083  T1016  T1036.005  T1098  T1598.003  T1562.002  T1562.001  T1049  T1114  T1003.001  T1570  T1136.001  T1057  T1562.004  T1114.002  T1571  T1070.003  T1082  T1114.001  T1505.003  T1090  T1036.004  T1583.001  T1018  T1112  T1482  T1589  T1078.002  T1566.003  T1560.001  T1585.001  T1564.003  T1562  T1005  T1047  T1583.006  T1189  T1065  T1043  T1566.001  T1555.003  T1204.002  T1098  T1204  T1193  T1194
Ajax Security Team,T1056.001  T1566.003  T1566.001  T1204.002  T1555.003  T1105
Threat Group-3390,T1068  T1030  T1190  T1046  T1053.002  T1055.012  T1074.001  T1203  T1567.002  T1003.001  T1059.003  T1574.002  T1555.005  T1566.001  T1012  T1003.004  T1204.002  T1033  T1608.001  T1505.003  T1547.001  T1027  T1543.003  T1199  T1016  T1105  T1056.001  T1059.001  T1562.002  T1078  T1608.004  T1588.002  T1018  T1583.001  T1189  T1140  T1003.002  T1133  T1005  T1087.001  T1195.002  T1548.002  T1119  T1560.002  T1027.002  T1588.003  T1047  T1071.001  T1070.005  T1021.006  T1574.001  T1070.004  T1608.002  T1112  T1210  T1074.002  T1049  T1043  T1108  T1002
APT33,T1552.001  T1003.005  T1560.001  T1555.003  T1552.006  T1027  T1566.001  T1003.001  T1566.002  T1110.003  T1003.004  T1053.005  T1555  T1546.003  T1105  T1048.003  T1588.002  T1040  T1071.001  T1059.001  T1547.001  T1078  T1573.001  T1059.005  T1132.001  T1571  T1078.004  T1203  T1204.002  T1204.001  T1068  T1065  T1480  T1043
FIN10,T1070.004  T1570  T1033  T1059.003  T1078.003  T1547.001  T1053.005  T1588.002  T1021.001  T1059.001  T1078
FIN8,T1078  T1070.001  T1048.003  T1518.001  T1021.001  T1003.001  T1204.002  T1068  T1546.003  T1566.002  T1053.005  T1204.001  T1102  T1027.010  T1070.004  T1566.001  T1071.001  T1021.002  T1560.001  T1074.002  T1105  T1059.001  T1059.003  T1573.002  T1055.004  T1018  T1482  T1112  T1134.001  T1047  T1043  T1059
APT19,T1547.001  T1059.001  T1564.003  T1016  T1033  T1218.011  T1112  T1189  T1543.003  T1071.001  T1059  T1027  T1566.001  T1204.002  T1082  T1132.001  T1588.002  T1574.002  T1218.010  T1140  T1027.010  T1043
PittyTiger,T1588.002  T1078
Nomadic Octopus,T1059.003  T1036  T1566.001  T1204.002  T1105  T1564.003  T1059.001
Charming Kitten,
Bouncing Golf,
Charming Kitten,
