"rule_name","mitre_matrix","mitre_tactic","mitre_tactic_display","mitre_technique","mitre_technique_display","mitre_threat_groups","_timediff"
"Network - Excessive HTTP Failure Responses - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0006","Initial Access
Credential Access","
T1190
T1110","Exploit Public-Facing Application
Brute Force","APT3
APT33
APT41
Axiom
Dragonfly 2.0
Lazarus Group
Leafminer
Night Dragon
OilRig
Soft Cell
Turla",
"ESCU - Detect Spike in Security Group Activity - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0002","Credential Access
Execution",None,None,"",
"Access - Geographically Improbable Access Detected - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0004","Initial Access
Privilege Escalation","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Unusually Long Command Line - MLTK - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1059","Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Deleting Shadow Copies - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1107
T1059","File Deletion
Command-Line Interface","APT1
APT18
APT28
APT29
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN5
FIN7
FIN8
Gorgon Group
Group5
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
TEMP.Veles
The White Company
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Registry Keys Used For Privilege Escalation - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0004
TA0003","Privilege Escalation
Persistence",T1015,"Accessibility Features","APT29
APT3
APT41
Axiom
Deep Panda",
"ESCU - Remote Desktop Network Bruteforce - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0008","Credential Access
Lateral Movement",T1076,"Remote Desktop Protocol","APT1
APT3
APT39
APT41
Axiom
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN8
Lazarus Group
Leviathan
OilRig
Patchwork
Stolen Pencil
TEMP.Veles
menuPass",
"ESCU - Detect Spike in blocked Outbound Traffic from your AWS - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0011","Exfiltration
Command and Control",None,None,"",
"ESCU - Suspicious writes to windows Recycle Bin - Rule","Enterprise ATT&CK",TA0009,Collection,T1074,"Data Staged","APT28
APT3
Dragonfly 2.0
FIN5
FIN6
FIN8
Honeybee
Lazarus Group
Leviathan
Machete
Night Dragon
Patchwork
Soft Cell
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Detect Unauthorized Assets by MAC address - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion","
T1200","Hardware Additions","",
"ESCU - Scheduled tasks used in BadRabbit ransomware - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0008
TA0002","Persistence
Lateral Movement
Execution",T1053,"Scheduled Task","APT18
APT29
APT3
APT32
APT33
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Machete
OilRig
Patchwork
Rancor
Silence
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Spike in File Writes - Rule","Enterprise ATT&CK",TA0002,Execution,"
TA0002",Execution,"",
"ESCU - Processes launching netsh - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003
TA0005","Execution
Persistence
Defense Evasion","T1059
T1089","Command-Line Interface
Disabling Security Tools","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Carbanak
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
MuddyWater
Night Dragon
OilRig
Patchwork
Putter Panda
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect web traffic to dynamic domain providers - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0005","Command and Control
Defense Evasion","T1102
T1041","Web Service
Exfiltration Over Command and Control Channel","APT12
APT3
APT32
APT37
APT41
BRONZE BUTLER
Carbanak
FIN6
FIN7
Gamaredon Group
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Magic Hound
Patchwork
RTM
Soft Cell
Stealth Falcon
Turla",
"ESCU - Detect processes used for System Network Configuration Discovery - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1016","System Network Configuration Discovery","APT1
APT19
APT3
APT32
APT39
APT41
Darkhotel
Dragonfly 2.0
Ke3chang
Lazarus Group
Magic Hound
MuddyWater
Naikon
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect Mimikatz Via PowerShell And EventCode 4663 - Rule","Enterprise ATT&CK",TA0006,"Credential Access",T1003,"Credential Dumping","APT1
APT28
APT3
APT32
APT33
APT37
APT39
APT41
Axiom
BRONZE BUTLER
Cleaver
Dragonfly 2.0
FIN5
FIN6
FIN8
Ke3chang
Lazarus Group
Leafminer
Leviathan
Magic Hound
Molerats
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Poseidon Group
Soft Cell
Sowbug
Stealth Falcon
Stolen Pencil
Strider
Suckfly
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Create local admin accounts using net.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"Web - Abnormally High Number of HTTP Method Events By Src - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0006","Initial Access
Credential Access","
T1190
T1110","Exploit Public-Facing Application
Brute Force","APT3
APT33
APT41
Axiom
Dragonfly 2.0
Lazarus Group
Leafminer
Night Dragon
OilRig
Soft Cell
Turla",
"ESCU - Reg.exe Manipulating Windows Services Registry Keys - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0004
TA0005","Persistence
Privilege Escalation
Defense Evasion","T1050
T1031
T1089","New Service
Modify Existing Service
Disabling Security Tools","APT19
APT3
APT32
APT41
Carbanak
Cobalt Group
Dragonfly 2.0
FIN7
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Tropic Trooper
Turla",
"ESCU - Detect Path Interception By Creation Of program.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0004
TA0003","Privilege Escalation
Persistence",None,None,"",
"Endpoint - Host Sending Excessive Email - Rule","Enterprise ATT&CK","
TA0001","Initial Access","
T1193
T1192","Spearphishing Attachment
Spearphishing Link","APT12
APT19
APT28
APT29
APT32
APT33
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
DarkHydrus
Darkhotel
Dragonfly 2.0
Elderwood
FIN4
FIN7
FIN8
Gallmaker
Gorgon Group
Kimsuky
Lazarus Group
Leviathan
Machete
Magic Hound
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Rancor
Silence
Stolen Pencil
TA459
TA505
The White Company
Tropic Trooper
Turla
admin@338
menuPass",
"ESCU - Batch File Write to System32 - Rule","Enterprise ATT&CK","
TA0002",Execution,"
T1064",Scripting,"APT1
APT19
APT28
APT29
APT3
APT32
APT37
APT39
BRONZE BUTLER
Cobalt Group
Dark Caracal
Darkhotel
Deep Panda
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN7
FIN8
Gallmaker
Gamaredon Group
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leafminer
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Stealth Falcon
TA459
TA505
Turla
WIRTE
menuPass",
"ESCU - Excessive DNS Failures - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0011","Exfiltration
Command and Control","T1048
T1043","Exfiltration Over Alternative Protocol
Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Thrip
Tropic Trooper
Turla",
"Change - Abnormally High Number of Endpoint Changes By User - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0003
TA0005","Persistence
Defense Evasion","
T1031
T1112
T1222","Modify Existing Service
Modify Registry
File and Directory Permissions Modification","APT19
APT32
APT38
APT41
Dragonfly 2.0
FIN8
Gorgon Group
Honeybee
Patchwork
Threat Group-3390
Turla",
"ESCU - Abnormally High AWS Instances Terminated by User - MLTK - Rule","Enterprise ATT&CK",TA0002,Execution,None,None,"",
"Identity - Activity from Expired User Identity - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0003","Initial Access
Persistence","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Detect Spike in S3 Bucket deletion - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0002","Credential Access
Execution",None,None,"",
"ESCU - Unusually Long Content-Type Length - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1068,"Exploitation for Privilege Escalation","APT28
APT32
APT33
Cobalt Group
FIN6
FIN8
PLATINUM
Threat Group-3390",
"ESCU - WMI Permanent Event Subscription - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence","T1047
T1084","Windows Management Instrumentation
Windows Management Instrumentation Event Subscription","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
Turla
menuPass",
"ESCU - Identify New User Accounts - Rule","Enterprise ATT&CK","
TA0003",Persistence,T1078,"Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Overwriting Accessibility Binaries - Rule","Enterprise ATT&CK",TA0003,Persistence,T1015,"Accessibility Features","APT29
APT3
APT41
Axiom
Deep Panda",
"ESCU - Attempt To Add Certificate To Untrusted Store - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1089,"Disabling Security Tools","Carbanak
Dragonfly 2.0
Gorgon Group
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Turla",
"ESCU - Execution of File With Spaces Before Extension - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1042,"Change Default File Association",Kimsuky,
"ESCU - Email files written outside of the Outlook directory - Rule","Enterprise ATT&CK",TA0009,Collection,T1114,"Email Collection","APT1
APT28
Dragonfly 2.0
FIN4
Ke3chang
Leafminer
Magic Hound",
"ESCU - Remote Desktop Process Running On System - Rule","Enterprise ATT&CK",TA0008,"Lateral Movement",T1076,"Remote Desktop Protocol","APT1
APT3
APT39
APT41
Axiom
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN8
Lazarus Group
Leviathan
OilRig
Patchwork
Stolen Pencil
TEMP.Veles
menuPass",
"ESCU - Remote Registry Key modifications - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0005
TA0008","Persistence
Defense Evasion
Lateral Movement","T1042
T1122
T1089
T1054
T1112
T1028","Change Default File Association
Component Object Model Hijacking
Disabling Security Tools
Indicator Blocking
Modify Registry","",
"ESCU - Detect PsExec With accepteula Flag - Rule","Enterprise ATT&CK",TA0002,Execution,T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect malicious requests to exploit JBoss servers - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1068,"Exploitation for Privilege Escalation","APT28
APT32
APT33
Cobalt Group
FIN6
FIN8
PLATINUM
Threat Group-3390",
"ESCU - Detect S3 access from a new IP - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0010","Execution
Exfiltration",None,None,"",
"ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0011
TA0005","Exfiltration
Command and Control
Defense Evasion",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"Access - Account Deleted - Rule","Enterprise ATT&CK","
TA0005","Defense Evasion","
T1070","Indicator Removal on Host","APT28
APT29
APT32
APT38
APT41
Dragonfly 2.0
FIN5
FIN8",
"ESCU - First time seen command line argument - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence","T1064
T1059","Scripting
Command-Line Interface","APT1
APT18
APT19
APT28
APT29
APT3
APT32
APT37
APT38
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
Darkhotel
Deep Panda
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN7
FIN8
Gallmaker
Gamaredon Group
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leafminer
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Stealth Falcon
Suckfly
TA459
TA505
Threat Group-1314
Threat Group-3390
Turla
WIRTE
admin@338
menuPass",
"ESCU - Remote Desktop Network Traffic - Rule","Enterprise ATT&CK",TA0008,"Lateral Movement","T1076
T1043","Remote Desktop Protocol
Commonly Used Port","APT1
APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
APT39
APT41
Axiom
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Lazarus Group
Leviathan
Machete
Magic Hound
Night Dragon
OilRig
Patchwork
Stolen Pencil
TEMP.Veles
Threat Group-3390
Tropic Trooper
menuPass",
"ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule","Enterprise ATT&CK",TA0011,"Command and Control",T1192,"Spearphishing Link","APT28
APT29
APT32
APT33
APT39
Cobalt Group
Dragonfly 2.0
Elderwood
FIN4
FIN8
Kimsuky
Leviathan
Machete
Magic Hound
Night Dragon
OilRig
Patchwork
Stolen Pencil
TA505
Turla",
"ESCU - AWS Network Access Control List Deleted - Rule","Enterprise ATT&CK",TA0003,Persistence,None,None,"",
"ESCU - Open Redirect in Splunk Web - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1068,"Exploitation for Privilege Escalation","APT28
APT32
APT33
Cobalt Group
FIN6
FIN8
PLATINUM
Threat Group-3390",
"ESCU - Create or delete hidden shares using net.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Disabling Remote User Account Control - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1112,"Modify Registry","APT19
APT32
APT38
APT41
Dragonfly 2.0
FIN8
Gorgon Group
Honeybee
Patchwork
Threat Group-3390
Turla",
"ESCU - Detect Mimikatz Via PowerShell And EventCode 4703 - Rule","Enterprise ATT&CK",TA0006,"Credential Access",T1003,"Credential Dumping","APT1
APT28
APT3
APT32
APT33
APT37
APT39
APT41
Axiom
BRONZE BUTLER
Cleaver
Dragonfly 2.0
FIN5
FIN6
FIN8
Ke3chang
Lazarus Group
Leafminer
Leviathan
Magic Hound
Molerats
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Poseidon Group
Soft Cell
Sowbug
Stealth Falcon
Stolen Pencil
Strider
Suckfly
TEMP.Veles
Threat Group-3390
menuPass",
"Network - Excessive DNS Queries - Rule","Enterprise ATT&CK","
TA0011","Command and Control","
T1071","Standard Application Layer Protocol","APT18
APT19
APT28
APT32
APT33
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
Dragonfly 2.0
FIN4
FIN6
FIN7
Gamaredon Group
Honeybee
Ke3chang
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
Orangeworm
Rancor
SilverTerrier
Stealth Falcon
Threat Group-3390
Turla
WIRTE",
"ESCU - First Time Seen Running Windows Service - Rule","Enterprise ATT&CK",TA0002,Execution,T1050,"New Service","APT3
APT32
Carbanak
Cobalt Group
FIN7
Ke3chang
Kimsuky
Lazarus Group
Threat Group-3390
Tropic Trooper",
"ESCU - Web Servers Executing Suspicious Processes - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0005
TA0002
TA0007","Defense Evasion
Execution
Discovery","T1068
T1082","Exploitation for Privilege Escalation
System Information Discovery","APT18
APT19
APT28
APT3
APT32
APT33
APT37
Cobalt Group
Darkhotel
FIN6
FIN8
Gamaredon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Magic Hound
MuddyWater
OilRig
PLATINUM
Patchwork
Sowbug
Stealth Falcon
Threat Group-3390
Tropic Trooper
Turla
admin@338",
"ESCU - Detect AWS Console Login by User from New City - Rule","Enterprise ATT&CK",TA0006,"Credential Access",None,None,"",
"ESCU - Detect Long DNS TXT Record Response - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Detect hosts connecting to dynamic domain providers - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0005","Exfiltration
Defense Evasion","T1041
T1043","Exfiltration Over Command and Control Channel
Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Gamaredon Group
Ke3chang
Kimsuky
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Scheduled Task Name Used by Dragonfly Threat Actors - Rule","Enterprise ATT&CK",TA0002,Execution,T1053,"Scheduled Task","APT18
APT29
APT3
APT32
APT33
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Machete
OilRig
Patchwork
Rancor
Silence
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Common Ransomware Notes - Rule","Enterprise ATT&CK","
TA0011","Command and Control","
TA0011","Command and Control","",
"Access - Brute Force Access Behavior Detected - Rule","Enterprise ATT&CK","
TA0006","Credential Access","
T1110","Brute Force","APT3
APT33
APT41
Dragonfly 2.0
Lazarus Group
Leafminer
OilRig
Turla",
"ESCU - TOR Traffic - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - SQL Injection with Long URLs - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0005
TA0002","Defense Evasion
Execution","T1068
T1043","Exploitation for Privilege Escalation
Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Cobalt Group
Dragonfly 2.0
FIN6
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
PLATINUM
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Suspicious Changes to File Associations - Rule","Enterprise ATT&CK",TA0003,Persistence,T1042,"Change Default File Association",Kimsuky,
"ESCU - Detect Excessive Account Lockouts From Endpoint - Rule","Enterprise ATT&CK","
TA0006","Credential Access",T1078,"Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - WMI Temporary Event Subscription - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence","T1047
T1084","Windows Management Instrumentation
Windows Management Instrumentation Event Subscription","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
Turla
menuPass",
"ESCU - Remote WMI Command Attempt - Rule","Enterprise ATT&CK",TA0002,Execution,T1047,"Windows Management Instrumentation","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
menuPass",
"ESCU - Detect API activity from users without MFA - Rule","Enterprise ATT&CK",TA0002,Execution,None,None,"",
"Network - Network Device Rebooted - Rule","Enterprise ATT&CK","
TA0005","Defense Evasion","
T1089","Disabling Security Tools","Carbanak
Dragonfly 2.0
Gorgon Group
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Turla",
"ESCU - RunDLL Loading DLL By Ordinal - Rule","Enterprise ATT&CK",TA0002,Execution,T1085,Rundll32,"APT19
APT28
APT29
APT3
Carbanak
CopyKittens
MuddyWater
TA505",
"ESCU - Detection of DNS Tunnels - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - DNS Query Length With High Standard Deviation - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Suspicious wevtutil Usage - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1070,"Indicator Removal on Host","APT28
APT29
APT32
APT38
APT41
Dragonfly 2.0
FIN5
FIN8",
"ESCU - Schtasks used for forcing a reboot - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0002","Persistence
Execution",T1053,"Scheduled Task","APT18
APT29
APT3
APT32
APT33
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Machete
OilRig
Patchwork
Rancor
Silence
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Detect New Open S3 buckets - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0001
TA0010","Execution
Initial Access
Exfiltration",None,None,"",
"Audit - Anomalous Audit Trail Activity Detected - Rule","Enterprise ATT&CK","
TA0005","Defense Evasion","
T1070
T1146
T1107","Indicator Removal on Host
Clear Command History
File Deletion","APT18
APT28
APT29
APT3
APT32
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN5
FIN8
Group5
Honeybee
Kimsuky
Lazarus Group
Magic Hound
OilRig
Patchwork
Silence
TEMP.Veles
The White Company
Threat Group-3390
menuPass",
