"rule_name","mitre_matrix","mitre_tactic","mitre_tactic_display","mitre_technique","mitre_technique_display","mitre_threat_groups","_timediff"
"ESCU - Sc.exe Manipulating Windows Services - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0004
TA0005","Persistence
Privilege Escalation
Defense Evasion","T1050
T1031
T1089","New Service
Modify Existing Service
Disabling Security Tools","APT19
APT3
APT32
APT41
Carbanak
Cobalt Group
Dragonfly 2.0
FIN7
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Tropic Trooper
Turla",
"ESCU - Detect mshta.exe running scripts in command-line arguments - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Detect Rare Executables - Rule","Enterprise ATT&CK",TA0002,Execution,"
TA0002",Execution,"",
"ESCU - Child Processes of Spoolsv.exe - Rule","Enterprise ATT&CK",TA0004,"Privilege Escalation",T1068,"Exploitation for Privilege Escalation","APT28
APT32
APT33
Cobalt Group
FIN6
FIN8
PLATINUM
Threat Group-3390",
"ESCU - Shim Database File Creation - Rule","Enterprise ATT&CK",TA0003,Persistence,T1138,"Application Shimming",FIN7,
"Access - Short-lived Account Detected - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0003
TA0004","Persistence
Privilege Escalation","
T1136
T1078","Create Account
Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leafminer
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Clients Connecting to Multiple DNS Servers - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration","T1048
T1043
T1071","Exfiltration Over Alternative Protocol
Commonly Used Port
Standard Application Layer Protocol","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
Dragonfly 2.0
FIN4
FIN6
FIN7
FIN8
Gamaredon Group
Honeybee
Ke3chang
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
Orangeworm
Rancor
SilverTerrier
Stealth Falcon
TEMP.Veles
Threat Group-3390
Thrip
Tropic Trooper
Turla
WIRTE",
"ESCU - Execution of File with Multiple Extensions - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1042,"Change Default File Association",Kimsuky,
"ESCU - Detect USB device insertion - Rule","Enterprise ATT&CK",TA0010,Exfiltration,"
T1052
T1091","Exfiltration Over Physical Medium
Replication Through Removable Media","APT28
Darkhotel",
"ESCU - Detect Activity Related to Pass the Hash Attacks - Rule","Enterprise ATT&CK",TA0008,"Lateral Movement",T1075,"Pass the Hash","APT1
APT28
APT32
Night Dragon
Soft Cell",
"Endpoint - Anomalous New Listening Port - Rule","Enterprise ATT&CK","
TA0011","Command and Control","
T1065
T1043","Uncommonly Used Port
Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Group5
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Detection of tools built by NirSoft - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0002
TA0006","Execution
Credential Access","T1072
T1087","Third-party Software
Account Discovery","APT1
APT3
APT32
BRONZE BUTLER
Dragonfly 2.0
FIN6
Ke3chang
OilRig
Poseidon Group
Threat Group-1314
Threat Group-3390
admin@338
menuPass",
"ESCU - Shim Database Installation With Suspicious Parameters - Rule","Enterprise ATT&CK",TA0003,Persistence,T1138,"Application Shimming",FIN7,
"ESCU - Monitor Registry Keys for Print Monitors - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0004","Persistence
Privilege Escalation",T1013,"Port Monitors","",
"ESCU - Attempt To Stop Security Service - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1089,"Disabling Security Tools","Carbanak
Dragonfly 2.0
Gorgon Group
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Turla",
"ESCU - Windows hosts file modification - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration","
TA0011","Command and Control","",
"Endpoint - Host With Multiple Infections - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0002","Initial Access
Execution","
T1189
T1193
T1192
T1204","Drive-by Compromise
Spearphishing Attachment
Spearphishing Link
User Execution","APT12
APT19
APT28
APT29
APT32
APT33
APT37
APT38
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
DarkHydrus
Darkhotel
Dragonfly 2.0
Elderwood
FIN4
FIN7
FIN8
Gallmaker
Gorgon Group
Kimsuky
Lazarus Group
Leafminer
Leviathan
Machete
Magic Hound
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Rancor
Silence
Stolen Pencil
TA459
TA505
The White Company
Threat Group-3390
Tropic Trooper
Turla
admin@338
menuPass",
"ESCU - Detect Use of cmd.exe to Launch Script Interpreters - Rule","Enterprise ATT&CK",TA0002,Execution,T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Common Ransomware Extensions - Rule","Enterprise ATT&CK","
TA0009",Collection,"
T1074","Data Staged","APT28
APT3
Dragonfly 2.0
FIN5
FIN6
FIN8
Honeybee
Lazarus Group
Leviathan
Machete
Night Dragon
Patchwork
Soft Cell
TEMP.Veles
Threat Group-3390
menuPass",
"Access - High or Critical Priority Individual Logging into Infected Machine - Rule","Enterprise ATT&CK
Enterprise ATT&CK","
TA0004
TA0001","Privilege Escalation
Initial Access","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Suspicious writes to System Volume Information - Rule","Enterprise ATT&CK",TA0009,Collection,T1074,"Data Staged","APT28
APT3
Dragonfly 2.0
FIN5
FIN6
FIN8
Honeybee
Lazarus Group
Leviathan
Machete
Night Dragon
Patchwork
Soft Cell
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - EC2 Instance Started In Previously Unseen Region - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",None,None,"",
"ESCU - Windows Event Log Cleared - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1070,"Indicator Removal on Host","APT28
APT29
APT32
APT38
APT41
Dragonfly 2.0
FIN5
FIN8",
"Audit - Expected Host Not Reporting - Rule","Enterprise ATT&CK","
TA0005","Defense Evasion","
T1089","Disabling Security Tools","Carbanak
Dragonfly 2.0
Gorgon Group
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Turla",
"ESCU - Processes Tapping Keyboard Events - Rule","Enterprise ATT&CK",TA0009,Collection,"
T1056","Input Capture","APT28
APT3
APT38
APT41
Darkhotel
FIN4
Group5
Ke3chang
Kimsuky
Lazarus Group
Magic Hound
OilRig
PLATINUM
Sowbug
Stolen Pencil
Threat Group-3390
menuPass",
"ESCU - Uncommon Processes On Endpoint - Rule","Enterprise ATT&CK",TA0002,Execution,T1015,"Accessibility Features","APT29
APT3
APT41
Axiom
Deep Panda",
"ESCU - File with Samsam Extension - Rule","Enterprise ATT&CK","
TA0002",Execution,"
TA0002",Execution,"",
"ESCU - Script Execution via WMI - Rule","Enterprise ATT&CK",TA0002,Execution,T1047,"Windows Management Instrumentation","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
menuPass",
"ESCU - Detect Spike in Network ACL Activity - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0010","Persistence
Exfiltration",None,None,"",
"ESCU - SMB Traffic Spike - MLTK - Rule","Enterprise ATT&CK","
TA0010",Exfiltration,T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Process Execution via WMI - Rule","Enterprise ATT&CK",TA0002,Execution,T1047,"Windows Management Instrumentation","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
menuPass",
"ESCU - Detect Outbound SMB Traffic - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0008","Credential Access
Lateral Movement",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - System Processes Run From Unexpected Locations - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1036,Masquerading,"APT1
APT32
APT41
BRONZE BUTLER
Carbanak
Dragonfly 2.0
FIN6
FIN7
Ke3chang
MuddyWater
PLATINUM
Patchwork
Poseidon Group
Scarlet Mimic
Soft Cell
Sowbug
TEMP.Veles
admin@338
menuPass",
"ESCU - Reg.exe used to hide files/directories via registry keys - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0005
TA0003","Defense Evasion
Persistence","
T1060
T1112","Registry Run Keys / Startup Folder
Modify Registry","APT18
APT19
APT29
APT3
APT32
APT33
APT37
APT38
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
Darkhotel
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Machete
Magic Hound
MuddyWater
Patchwork
Putter Panda
Threat Group-3390
Turla",
"ESCU - Detect Prohibited Applications Spawning cmd.exe - Rule","Enterprise ATT&CK",TA0002,Execution,T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Single Letter Process On Endpoint - Rule","Enterprise ATT&CK",TA0002,Execution,T1059,"Command-Line Interface","",
"ESCU - Processes created by netsh - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0003","Execution
Persistence",T1059,"Command-Line Interface","APT1
APT18
APT28
APT3
APT32
APT37
APT38
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN7
FIN8
Gorgon Group
Honeybee
Ke3chang
Lazarus Group
Leviathan
Magic Hound
MuddyWater
OilRig
Patchwork
Rancor
Silence
Soft Cell
Sowbug
Suckfly
Threat Group-1314
Threat Group-3390
Turla
admin@338
menuPass",
"ESCU - Protocols passing authentication in cleartext - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0008
TA0009","Credential Access
Lateral Movement
Collection","
T1040","Network Sniffing","APT28
APT33
Stolen Pencil",
"Endpoint - High Number of Hosts Not Updating Malware Signatures - Rule","Enterprise ATT&CK","
TA0005","Defense Evasion","
T1089","Disabling Security Tools","Carbanak
Dragonfly 2.0
Gorgon Group
Kimsuky
Lazarus Group
Night Dragon
Putter Panda
Threat Group-3390
Turla",
"ESCU - Monitor DNS For Brand Abuse - Rule","PRE-ATT&CK","
TA0022","Establish & Maintain Infrastructure","
T1328","Buy domain name",APT28,
"ESCU - Remote Process Instantiation via WMI - Rule","Enterprise ATT&CK",TA0002,Execution,T1047,"Windows Management Instrumentation","APT29
APT32
APT41
Deep Panda
FIN6
FIN8
Lazarus Group
Leviathan
MuddyWater
OilRig
Soft Cell
Stealth Falcon
Threat Group-3390
menuPass",
"ESCU - Email servers sending high volume traffic to hosts - Rule","Enterprise ATT&CK",TA0009,Collection,"T1114
T1043","Email Collection
Commonly Used Port","APT1
APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN4
FIN7
FIN8
Ke3chang
Lazarus Group
Leafminer
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Protocol or Port Mismatch - Rule","Enterprise ATT&CK",TA0011,"Command and Control",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Detect New Login Attempts to Routers - Rule","Enterprise ATT&CK","
TA0001","Initial Access","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Abnormally High AWS Instances Launched by User - MLTK - Rule","Enterprise ATT&CK",TA0002,Execution,None,None,"",
"ESCU - Suspicious Java Classes - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1203
T1219","Exploitation for Client Execution
Remote Access Tools","APT12
APT28
APT29
APT32
APT33
APT37
APT41
BRONZE BUTLER
Carbanak
Cobalt Group
Elderwood
Kimsuky
Lazarus Group
Leviathan
Night Dragon
Patchwork
TA459
The White Company
Threat Group-3390
Thrip
Tropic Trooper
admin@338",
"ESCU - Detect Spike in AWS API Activity - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0002","Credential Access
Execution",None,None,"",
"ESCU - Malicious PowerShell Process With Obfuscation Techniques - Rule","Enterprise ATT&CK",TA0002,Execution,"T1086
T1064","PowerShell
Scripting","APT1
APT19
APT28
APT29
APT3
APT32
APT33
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
CopyKittens
Dark Caracal
DarkHydrus
Darkhotel
Deep Panda
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN7
FIN8
Gallmaker
Gamaredon Group
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leafminer
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
Patchwork
Poseidon Group
Rancor
Silence
Soft Cell
Stealth Falcon
TA459
TA505
TEMP.Veles
Threat Group-3390
Thrip
Turla
WIRTE
menuPass",
"Access - Completely Inactive Account - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","
TA0001
TA0004
TA0003","Initial Access
Privilege Escalation
Persistence","
T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Detect AWS Console Login by User from New Region - Rule","Enterprise ATT&CK",TA0006,"Credential Access",None,None,"",
"Access - Excessive Failed Logins - Rule","Enterprise ATT&CK","
TA0006","Credential Access","
T1110","Brute Force","APT3
APT33
APT41
Dragonfly 2.0
Lazarus Group
Leafminer
OilRig
Turla",
"ESCU - Hosts receiving high volume of network traffic from email server - Rule","Enterprise ATT&CK",TA0009,Collection,T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Monitor Web Traffic For Brand Abuse - Rule","PRE-ATT&CK","
TA0022","Establish & Maintain Infrastructure","
T1328","Buy domain name",APT28,
"ESCU - AWS Cross Account Activity From Previously Unseen Account - Rule","Enterprise ATT&CK",TA0006,"Credential Access",None,None,"",
"ESCU - Schtasks scheduling job on remote system - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0008
TA0002","Persistence
Lateral Movement
Execution","T1053
T1021","Scheduled Task
Remote Services","APT18
APT29
APT3
APT32
APT33
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dragonfly 2.0
FIN10
FIN6
FIN7
FIN8
GCMAN
Leviathan
Machete
OilRig
Patchwork
Rancor
Silence
Soft Cell
Stealth Falcon
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Prohibited Software On Endpoint - Rule","Enterprise ATT&CK",TA0002,Execution,"
T1072","Third-party Software","Threat Group-1314",
"ESCU - Email Attachments With Lots Of Spaces - Rule","Enterprise ATT&CK","
TA0001","Initial Access","
T1193","Spearphishing Attachment","APT12
APT19
APT28
APT29
APT32
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
DarkHydrus
Darkhotel
Dragonfly 2.0
Elderwood
FIN4
FIN7
FIN8
Gallmaker
Gorgon Group
Kimsuky
Lazarus Group
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
PLATINUM
Patchwork
Rancor
Silence
TA459
TA505
The White Company
Tropic Trooper
Turla
admin@338
menuPass",
"ESCU - Detect AWS Console Login by User from New Country - Rule","Enterprise ATT&CK",TA0006,"Credential Access",None,None,"",
"ESCU - Detect New Local Admin account - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0005
TA0003","Defense Evasion
Persistence",T1078,"Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Attempted Credential Dump From Registry Via Reg.exe - Rule","Enterprise ATT&CK",TA0006,"Credential Access",T1003,"Credential Dumping","APT1
APT28
APT3
APT32
APT33
APT37
APT39
APT41
Axiom
BRONZE BUTLER
Cleaver
Dragonfly 2.0
FIN5
FIN6
FIN8
Ke3chang
Lazarus Group
Leafminer
Leviathan
Magic Hound
Molerats
MuddyWater
Night Dragon
OilRig
PLATINUM
Patchwork
Poseidon Group
Soft Cell
Sowbug
Stealth Falcon
Stolen Pencil
Strider
Suckfly
TEMP.Veles
Threat Group-3390
menuPass",
"ESCU - Hiding Files And Directories With Attrib.exe - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0005
TA0003","Defense Evasion
Persistence","
T1158","Hidden Files and Directories","APT28
APT32
Lazarus Group
Tropic Trooper",
"ESCU - USN Journal Deletion - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1070,"Indicator Removal on Host","APT28
APT29
APT32
APT38
APT41
Dragonfly 2.0
FIN5
FIN8",
"ESCU - Registry Keys Used For Persistence - Rule","Enterprise ATT&CK",TA0003,Persistence,"T1060
T1103
T1131","Registry Run Keys / Startup Folder
AppInit DLLs
Authentication Package","APT18
APT19
APT29
APT3
APT32
APT33
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
Dark Caracal
Darkhotel
Dragonfly 2.0
FIN10
FIN6
FIN7
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leviathan
Machete
Magic Hound
MuddyWater
Patchwork
Putter Panda
Threat Group-3390
Turla",
"ESCU - AWS Network Access Control List Created with All Open Ports - Rule","Enterprise ATT&CK",TA0003,Persistence,None,None,"",
"ESCU - Splunk Enterprise Information Disclosure - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion",T1068,"Exploitation for Privilege Escalation","APT28
APT32
APT33
Cobalt Group
FIN6
FIN8
PLATINUM
Threat Group-3390",
"ESCU - Detect attackers scanning for vulnerable JBoss servers - Rule","Enterprise ATT&CK",TA0007,Discovery,T1082,"System Information Discovery","APT18
APT19
APT3
APT32
APT37
Darkhotel
Gamaredon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Magic Hound
MuddyWater
OilRig
Patchwork
Sowbug
Stealth Falcon
Tropic Trooper
Turla
admin@338",
"ESCU - Detect new user AWS Console Login - Rule","Enterprise ATT&CK",TA0006,"Credential Access",None,None,"",
"ESCU - Registry Keys for Creating SHIM Databases - Rule","Enterprise ATT&CK",TA0003,Persistence,T1138,"Application Shimming",FIN7,
"ESCU - Prohibited Network Traffic Allowed - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0011
TA0010","Command and Control
Exfiltration","T1043
T1048","Commonly Used Port
Exfiltration Over Alternative Protocol","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Thrip
Tropic Trooper
Turla",
"ESCU - Detect Large Outbound ICMP Packets - Rule","Enterprise ATT&CK",TA0011,"Command and Control",T1095,"Standard Non-Application Layer Protocol","APT29
APT3
PLATINUM",
"ESCU - DNS record changed - Rule","Enterprise ATT&CK
Enterprise ATT&CK
Enterprise ATT&CK","TA0010
TA0011
TA0005","Exfiltration
Command and Control
Defense Evasion",T1043,"Commonly Used Port","APT18
APT19
APT28
APT29
APT3
APT32
APT33
APT37
Dragonfly 2.0
FIN7
FIN8
Lazarus Group
Machete
Magic Hound
Night Dragon
OilRig
TEMP.Veles
Threat Group-3390
Tropic Trooper",
"ESCU - Detect Excessive User Account Lockouts - Rule","Enterprise ATT&CK","
TA0006","Credential Access",T1078,"Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Attempt To Set Default PowerShell Execution Policy To Unrestricted - Rule","Enterprise ATT&CK",TA0002,Execution,"T1086
T1064","PowerShell
Scripting","APT1
APT19
APT28
APT29
APT3
APT32
APT33
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
CopyKittens
Dark Caracal
DarkHydrus
Darkhotel
Deep Panda
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN7
FIN8
Gallmaker
Gamaredon Group
Gorgon Group
Honeybee
Ke3chang
Kimsuky
Lazarus Group
Leafminer
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
Patchwork
Poseidon Group
Rancor
Silence
Soft Cell
Stealth Falcon
TA459
TA505
TEMP.Veles
Threat Group-3390
Thrip
Turla
WIRTE
menuPass",
"ESCU - Suspicious Reg.exe Process - Rule","Enterprise ATT&CK",TA0005,"Defense Evasion","T1112
T1089","Modify Registry
Disabling Security Tools","APT19
APT32
APT38
APT41
Carbanak
Dragonfly 2.0
FIN8
Gorgon Group
Honeybee
Kimsuky
Lazarus Group
Night Dragon
Patchwork
Putter Panda
Threat Group-3390
Turla",
"ESCU - Suspicious Email Attachment Extensions - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0002
TA0005","Execution
Defense Evasion","
T1193
T1203","Spearphishing Attachment
Exploitation for Client Execution","APT12
APT19
APT28
APT29
APT32
APT33
APT37
APT39
APT41
BRONZE BUTLER
Cobalt Group
DarkHydrus
Darkhotel
Dragonfly 2.0
Elderwood
FIN4
FIN7
FIN8
Gallmaker
Gorgon Group
Kimsuky
Lazarus Group
Leviathan
Machete
Magic Hound
MuddyWater
OilRig
PLATINUM
Patchwork
Rancor
Silence
TA459
TA505
The White Company
Threat Group-3390
Tropic Trooper
Turla
admin@338
menuPass",
"ESCU - Detect AWS API Activities From Unapproved Accounts - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0006
TA0002","Credential Access
Execution",None,None,"",
"ESMCU - Detect Path Interception By Creation Of An Arbitrary Executable - Rule","Enterprise ATT&CK
Enterprise ATT&CK","TA0003
TA0004","Persistence
Privilege Escalation","T1034
T1068","Path Interception
Exploitation for Privilege Escalation","",
"Access - Inactive Account Usage - Rule",,"
TA0001
TA0004","Initial Access
Privilege Escalation","T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESCU - Web Fraud - Anomalous User Clickspeed - Rule",,"
TA0001
TA0004","Initial Access
Privilege Escalation","T1078","Valid Accounts","APT18
APT28
APT3
APT32
APT33
APT39
APT41
Carbanak
Dragonfly 2.0
FIN10
FIN4
FIN5
FIN6
FIN8
Leviathan
Night Dragon
OilRig
PittyTiger
Soft Cell
Stolen Pencil
Suckfly
TEMP.Veles
Threat Group-1314
Threat Group-3390
menuPass",
"ESMCU - test1 - Rule","Enterprise ATT&CK","TA0006
TA0007","Credential Access
Discovery","T1081
T1083","Credentials in Files
File and Directory Discovery","",
"ESMCU - test2 - Rule","Enterprise ATT&CK",TA0006,"Credential Access",T1081,"Credentials in Files","",
